ID;Pays;Institution;Institutions;Equipes;Titre;TypeCoop;Motcle1;Motcle2;Motcle3;Motcle4;Motcle5;Budget;Bailleurs;Debut;Fin;Nb Copublications;;Role;StatutGM;NumGM;Lien;Nbpartenaires;Resume
PIU;Japon;Kyoto Univ;Kyoto Univ;;Integrate immunogenetics and immunogenomics studies with systems biology and immune profiling to understang immunologic mechanisms behind vaccine response heterogeneity;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Vaccinomics Unit;Integrate immunogenetics and immunogenomics studies with systems biology and immune profiling to understang immunologic mechanisms behind vaccine response heterogeneity;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;Chine;Institut Pasteur of Shanghai,Chinese Academy of Sciences;Institut Pasteur Of Shanghai,Chinese Academy Of Sciences";;Exploiting host-pathogen interaction for the discovery of novel anti-microbial drug targets and drug candidates : impact of Leishmania-released proteins on the host macrophage phenotype (inflammasome) and exploit the parasite ecto-proteome for the identification of drug targets.;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Inflammation and Leishmania Infection Unit;Exploiting host-pathogen interaction for the discovery of novel anti-microbial drug targets and drug candidates : impact of Leishmania-released proteins on the host macrophage phenotype (inflammasome) and exploit the parasite ecto-proteome for the identification of drug targets.;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris); Malaria Translational Research Unit (MTRU);Evolution and co-adaptation of Plasmodium parasites to their hosts in the context of malaria elimination efforts, including studies on the asymptomatic reservoir and the dynamic of transmission, at the individual and community level.;PIU;;;;;;;;01/11/2016;30/11/2021;;;;;;;;
PIU;Cambodge;Institut Pasteur du Cambodge;Institut Pasteur Du Cambodge;;Evolution and co-adaptation of Plasmodium parasites to their hosts in the context of malaria elimination efforts, including studies on the asymptomatic reservoir and the dynamic of transmission, at the individual and community level.;PIU;;;;;;;;01/11/2016;30/11/2021;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Integrative Microbiology of Zoonotic Pathogens Unit;Identify mechanisms invloved in the survival and persistance of leptospires int the environment and the host comprehensive analysisof leptospiral exoproteins development of vaccin;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;Uruguay;Institut Pasteur de Montevideo;Institut Pasteur De Montevideo;;Identify mechanisms invloved in the survival and persistance of leptospires int the environment and the host comprehensive analysisof leptospiral exoproteins development of vaccin;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Artificial Virus Evolution Unit (AVENUe);Define viral hallmarks that influence fitness and cross reference this information with the global virome to identify high priority pathogens;PIU;;;;;;;;01/09/2017;30/09/2021;;;;;;;;
PIU;Etats-Unis;Icahn Scholl of Med. Mount Sinaï;Icahn Scholl Of Med. Mount Sinaï;;Define viral hallmarks that influence fitness and cross reference this information with the global virome to identify high priority pathogens;PIU;;;;;;;;01/09/2017;30/09/2021;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Mucosal Immunomics Laboratory (MIL);understand how genetics, local microbiomes, and environment  factors condition human respiratry immune responses in normal Japanese individuals;PIU;;;;;;;;01/03/2018;31/12/2025;;;;;;;;
PIU;Japon;Institute of Medical Science;Institute Of Medical Science;;understand how genetics, local microbiomes, and environment  factors condition human respiratry immune responses in normal Japanese individuals;PIU;;;;;;;;01/03/2018;31/12/2025;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Emergence, maintenance and spread of plague;understand the evolution of Y. pestis by characterize the genetic diversity of bacterial strains circulating in different flea and rodent populations as well as Malagasy patients, (ii) compare the interactions of Y. pestis with these different hosts and vectors, (iii) ;PIU;;;;;;;;01/01/2021;31/12/2025;;;;;;;;
PIU;France;Institut Pasteur de Lille;Institut Pasteur De Lille;;understand the evolution of Y. pestis by characterize the genetic diversity of bacterial strains circulating in different flea and rodent populations as well as Malagasy patients, (ii) compare the interactions of Y. pestis with these different hosts and vectors, (iii) ;PIU;;;;;;;;01/01/2021;31/12/2025;;;;;;;;
PIU;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;understand the evolution of Y. pestis by characterize the genetic diversity of bacterial strains circulating in different flea and rodent populations as well as Malagasy patients, (ii) compare the interactions of Y. pestis with these different hosts and vectors, (iii) ;PIU;;;;;;;;01/01/2021;01/01/2021;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Neurodegenerative Disease;Fundamental aspects of the pathogenetic mechanisms and spreading of parkinson's disease (if astrocytes are critical players in p.A53T pathology and constitute new targets for drug development);PIU;;;;;;;;01/01/2021;31/12/2025;;;;;;;;
PIU;Grèce;Hellenic Pasteur Institute;Hellenic Pasteur Institute;;Fundamental aspects of the pathogenetic mechanisms and spreading of parkinson's disease (if astrocytes are critical players in p.A53T pathology and constitute new targets for drug development);PIU;;;;;;;;01/01/2021;31/12/2025;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);"Artificial intelligence for image-based drug discovery & 
development (Ai3D)";Develop innovative methods using AI/machine-/deep-learning technologies for drug discovery;PIU;;;;;;;;01/01/2021;31/12/2025;;;;;;;;
PIU;Corée du Sud;Institut Pasteur Korea;Institut Pasteur Korea;;Develop innovative methods using AI/machine-/deep-learning technologies for drug discovery;PIU;;;;;;;;01/01/2021;31/12/2025;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);"One-health pathogen genomic surveillance
 in Cambodia (PAGES)";Implement a real-time pathogen genomic surveillance program in IPC;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;Cambodge;Institut Pasteur du Cambodge;Institut Pasteur Du Cambodge;;Implement a real-time pathogen genomic surveillance program in IPC;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Fungal Extracellular Vesicles (FEV);Study extracellular vesicules (EV) structure and composition as well as the diversity of EVs produced by a single strain or by different isolates;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;Brésil;Oswaldo Cruz Foundation (Fiocruz);Oswaldo Cruz Foundation (Fiocruz);;Study extracellular vesicules (EV) structure and composition as well as the diversity of EVs produced by a single strain or by different isolates;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;Royaume-Uni;University of Birmingham;University Of Birmingham;;Study extracellular vesicules (EV) structure and composition as well as the diversity of EVs produced by a single strain or by different isolates;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Microfluidic technologies and Virus Sequencing (MTVS);Develop a new enrichment approach based on a microfluidic method associated with real-time sequencing with MinION technology;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;Centrafrique;Institut Pasteur de Bangui;Institut Pasteur De Bangui;;Develop a new enrichment approach based on a microfluidic method associated with real-time sequencing with MinION technology;PIU;;;;;;;;01/01/2022;;;;;;;;;
PIU;Chine;Fudan University;Fudan University;;Develop a new enrichment approach based on a microfluidic method associated with real-time sequencing with MinION technology;PIU;;;;;;;;01/01/2022;;;;;;;;;
